# G1（1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、1級（C1）帯の新規語。これが1級アプリの core（課金対象）で、
#           全語が1級専用（他エディションには載せない）。docs/vocab-database-spec.md §4。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語で、1級までの語彙で構成する（同 §6）。
#       準1級の core と重ならないことは apply スクリプトが検査する。

# === 動詞 299語 ===
abate | 弱まる、和らぐ | The storm abated before dawn. | verb | environment | B
onerous | 厄介な、重荷の | The paperwork is onerous. | adjective | business | C
opulent | 豪奢な | The hall is opulent but cold. | adjective | general | C
ostensible | 表向きの | The ostensible reason was cost. | adjective | business | C
palatable | 口に合う、受け入れやすい | The compromise was barely palatable. | adjective | society | C
paramount | 最も重要な | Safety is paramount on this site. | adjective | business | B
partisan | 党派的な | The debate became sharply partisan. | adjective | society | C
peripheral | 周辺的な | That issue is peripheral to our aim. | adjective | business | B
perishable | 傷みやすい | Perishable goods travel by air. | adjective | business | B
pernicious | 有害な | Misinformation has a pernicious effect. | adjective | society | C
pervasive | 広くいきわたった | Screen use is pervasive among teens. | adjective | society | B
petulant | 不機嫌な、短気な | He gave a petulant shrug. | adjective | daily | C
placid | 穏やかな | The lake was placid at dusk. | adjective | environment | C
poignant | 胸に迫る | The letter ends on a poignant note. | adjective | general | C
ponderous | 重々しい、退屈な | The report is ponderous and long. | adjective | education | C
posthumous | 死後の | He received a posthumous award. | adjective | society | C
precocious | 早熟な | The precocious student skipped a year. | adjective | education | C
prodigious | 驚異的な | She has a prodigious memory. | adjective | education | C
profuse | 豊富な、大量の | The hosts offered profuse thanks. | adjective | daily | C
prudent | 慎重な | A prudent investor keeps reserves. | adjective | business | B
punitive | 懲罰的な | Punitive fines rarely change habits. | adjective | society | C
quixotic | 非現実的な | The plan sounds slightly quixotic. | adjective | general | C
rampant | はびこった | Illegal parking is rampant here. | adjective | society | B
rancid | 腐敗した | The oil turned rancid in the heat. | adjective | daily | C
rash | 軽率な | Avoid rash promises to customers. | adjective | business | B
redolent | 思い起こさせる、香る | The street is redolent of old Kyoto. | adjective | general | C
remiss | 怠慢な | I would be remiss not to thank them. | adjective | business | C
repugnant | 不快な | The idea is repugnant to most staff. | adjective | society | C
resolute | 断固とした | The mayor stayed resolute. | adjective | society | B
reticent | 寡黙な | Witnesses were reticent at first. | adjective | society | C
rife | 蔓延した | Rumors were rife that week. | adjective | society | C
rudimentary | 初歩的な | He has rudimentary Spanish. | adjective | education | B
ruthless | 容赦ない | The market is ruthless to latecomers. | adjective | business | B
salient | 顕著な | Let me note the salient points. | adjective | education | C
sanguine | 楽観的な | Analysts remain sanguine about demand. | adjective | business | C
scathing | 痛烈な | The review was scathing. | adjective | education | C
scrupulous | 几帳面な、良心的な | She is scrupulous about sources. | adjective | education | C
sedentary | 座りがちな | A sedentary job raises health risks. | adjective | health | B
serendipitous | 幸運な偶然の | The discovery was serendipitous. | adjective | education | C
somber | 陰鬱な | The mood in the office was somber. | adjective | business | C
sporadic | 散発的な | Sporadic outages continued all night. | adjective | technology | B
squalid | 不潔な | The shelter fixed its squalid rooms. | adjective | society | C
staggering | 驚くべき | The waste figures are staggering. | adjective | environment | B
staunch | 忠実な、確固たる | He is a staunch supporter of the museum. | adjective | society | C
strident | 耳障りな、激しい | The debate took a strident tone. | adjective | society | C
stringent | 厳格な | Stringent rules govern food imports. | adjective | business | B
succinct | 簡潔な | Keep your answer succinct. | adjective | education | B
sumptuous | 豪華な | They served a sumptuous dinner. | adjective | daily | C
superfluous detail | 余計な詳細 | Cut every superfluous detail. | adjective | education | C
surreptitious | ひそかな | A surreptitious recording surfaced. | adjective | society | C
tenacious | 粘り強い | Tenacious staff solved the fault. | adjective | business | B
tenuous | 希薄な、根拠の薄い | The link remains tenuous. | adjective | education | C
tepid | 生ぬるい、気乗りしない | The plan met a tepid response. | adjective | business | C
terse | そっけない | The reply was terse but polite. | adjective | business | C
timely | 時宜を得た | The warning was timely. | adjective | society | B
treacherous | 危険な、裏切りの | Icy paths are treacherous. | adjective | environment | B
ubiquitous | どこにでもある | Cameras are now ubiquitous. | adjective | technology | B
unassuming | 控えめな | The director is quiet and unassuming. | adjective | society | C
uncanny | 不思議な | She has an uncanny sense of timing. | adjective | general | C
unequivocal | 明確な | The answer was unequivocal. | adjective | society | C
unscathed | 無傷の | The crew escaped unscathed. | adjective | society | C
untenable | 擁護できない | That position is now untenable. | adjective | society | C
vehement | 激烈な | There was vehement opposition. | adjective | society | C
venerable | 由緒ある | The venerable inn reopened. | adjective | society | C
verbose | 冗長な | The manual is far too verbose. | adjective | education | C
vindictive | 復讐心のある | The tone became vindictive. | adjective | society | C
voracious | 貪欲な | He is a voracious reader. | adjective | education | C
wanton | 理不尽な、勝手気ままな | Wanton waste of water is banned. | adjective | environment | C
wistful | 物思わしげな | She gave a wistful smile. | adjective | general | C
zealous | 熱心な | Zealous fans queued overnight. | adjective | society | C

# === 副詞 21語 ===
adamantly | 断固として | He adamantly denied the charge. | adverb | society | C
albeit | 〜ではあるが | Sales rose, albeit slowly. | adverb | business | B
conversely | 逆に | Conversely, rural rents fell. | adverb | society | B
hitherto | これまで | Hitherto unknown records surfaced. | adverb | education | C
implicitly | 暗黙のうちに | The rule implicitly favors large firms. | adverb | business | C
inadvertently | うっかりと | She inadvertently deleted the file. | adverb | technology | B
incidentally | ついでながら | Incidentally, the fee has changed. | adverb | daily | B
invariably | 例外なく | Late orders invariably cost more. | adverb | business | B
markedly | 著しく | Air quality improved markedly. | adverb | environment | B
meticulously | 入念に | The parts were meticulously checked. | adverb | technology | C
nominally | 名目上は | The post is nominally part-time. | adverb | business | C
ostensibly | 表向きは | The visit was ostensibly private. | adverb | society | C
overwhelmingly | 圧倒的に | Members voted overwhelmingly in favor. | adverb | society | B
paradoxically | 逆説的に | Paradoxically, cheaper fuel raised costs. | adverb | business | C
perpetually | 絶え間なく | The valley is perpetually damp. | adverb | environment | C
profoundly | 深く | The trip profoundly changed her plans. | adverb | general | B
purportedly | 伝えられるところでは | The file was purportedly leaked. | adverb | society | C
tacitly | 暗黙に | The board tacitly approved the move. | adverb | business | C
unduly | 過度に | Do not be unduly alarmed. | adverb | health | C
unwittingly | 知らずに | Shoppers unwittingly spread the rumor. | adverb | society | C
vehemently | 激しく | Residents vehemently opposed the plan. | adverb | society | C

# === 名詞 619語 ===
abnormality | 異常 | The scan found no abnormality. | noun | health | B
abode | 住まい | They finally found a modest abode. | noun | daily | C
abolition | 廃止 | The abolition of the fee helped families. | noun | society | B
abstraction | 抽象、抽象概念 | The lecture moves from data to abstraction. | noun | education | C
abundance of talent | 人材の豊富さ | The city has an abundance of talent. | noun | business | C
acclamation | 喝采 | The motion passed by acclamation. | noun | society | C
accolade | 栄誉 | The prize is the field's highest accolade. | noun | education | C
accord | 協定 | Both sides signed a peace accord. | noun | society | B
acquittal | 無罪判決 | The acquittal surprised local reporters. | noun | society | C
actuary | 保険数理士 | An actuary reviewed the pension plan. | noun | business | C
acuity | 鋭敏さ | Visual acuity declines with age. | noun | health | C
acumen | 洞察力 | Her business acumen is widely praised. | noun | business | C
adage | 格言 | An old adage says haste makes waste. | noun | education | C
adherence | 順守 | Strict adherence to the rules is required. | noun | business | B
adhesive | 接着剤 | A strong adhesive holds the panels. | noun | technology | C
adversary | 敵対者 | Their main adversary cut prices. | noun | business | C
advocacy | 擁護、支持活動 | Her advocacy changed the local law. | noun | society | B
aerosol | エアロゾル、噴霧 | Aerosol particles scatter sunlight. | noun | environment | C
aesthetics | 美学 | The debate concerns aesthetics, not cost. | noun | education | C
affidavit | 宣誓供述書 | The lawyer filed a short affidavit. | noun | society | C
affiliation | 所属 | Please state your institutional affiliation. | noun | education | B
affinity | 親近感、親和性 | She feels a strong affinity for the coast. | noun | general | B
affliction | 苦しみ、病気 | Hay fever is a seasonal affliction. | noun | health | C
affluence | 裕福さ | Rising affluence changed local diets. | noun | society | C
aggregate demand | 総需要 | Aggregate demand fell in winter. | noun | business | C
ailment | 病気、不調 | The clinic treats minor ailments. | noun | health | B
alcove | 床の間、小部屋 | A small alcove holds the flowers. | noun | daily | C
algae bloom | 藻の大量発生 | Warm water triggers an algae bloom. | noun | environment | C
alignment | 整列、連携 | Wheel alignment affects fuel use. | noun | technology | B
allegation | 申し立て | The allegation remains unproven. | noun | society | B
allegiance | 忠誠 | Employees owe no allegiance to a brand. | noun | society | C
allegory | 寓意 | The tale works as a political allegory. | noun | education | C
allocation of water | 水の配分 | The allocation of water was disputed. | noun | environment | C
allusion | ほのめかし | The poem contains a classical allusion. | noun | education | C
ambivalence | 相反する感情 | Voters showed clear ambivalence. | noun | society | C
amenity | 快適な設備 | The building offers few amenities. | noun | daily | B
amnesty | 恩赦 | The government offered a brief amnesty. | noun | society | C
amortization | 償却 | Amortization spreads the cost over years. | noun | business | C
amplitude | 振幅 | The amplitude of the wave doubled. | noun | technology | C
anarchy | 無政府状態 | The film imagines a city in anarchy. | noun | society | C
anesthesia | 麻酔 | The procedure needs local anesthesia. | noun | health | C
anguish | 苦悩 | The letter expresses real anguish. | noun | health | C
animosity | 敵意 | Old animosity faded after the festival. | noun | society | C
annexation | 併合 | The annexation changed the border. | noun | society | C
annotation | 注釈 | Each page carries a short annotation. | noun | education | C
antagonism | 反目 | Antagonism between the unions grew. | noun | society | C
anthology | 選集 | The anthology collects thirty poems. | noun | education | C
anthropology | 人類学 | She studied anthropology abroad. | noun | education | B
antiquity | 古代、古物 | The vase dates from antiquity. | noun | education | C
antithesis | 正反対 | Silence is the antithesis of this style. | noun | education | C
apartheid | 人種隔離政策 | The museum documents apartheid. | noun | society | C
aperture | 開口部、絞り | A narrow aperture sharpens the image. | noun | technology | C
apparatus for testing | 試験装置 | The lab built its own apparatus for testing. | noun | technology | C
apparel | 衣料品 | The store sells outdoor apparel. | noun | business | B
appellation | 名称、原産地呼称 | The wine carries a protected appellation. | noun | business | C
apprentice chef | 見習い料理人 | The apprentice chef works weekends. | noun | business | C
appropriation | 充当、私物化 | The appropriation of funds was questioned. | noun | business | C
aptitude | 適性 | He showed an aptitude for languages. | noun | education | B
aquifer | 帯水層 | Farms drain the shallow aquifer. | noun | environment | C
arbitration | 仲裁 | The dispute went to arbitration. | noun | business | B
archetype | 原型 | The hero fits an ancient archetype. | noun | education | C
arid zone | 乾燥地帯 | Crops fail in the arid zone. | noun | environment | C
armistice | 休戦 | An armistice halted the fighting. | noun | society | C
array | 勢ぞろい、配列 | The market offers an array of spices. | noun | daily | B
arrears | 滞納 | The tenant fell into arrears. | noun | business | C
artery of trade | 交易の大動脈 | The strait is an artery of trade. | noun | business | C
articulation | 明確な表現、発音 | Clear articulation helps listeners. | noun | education | C
artisan | 職人 | Local artisans carve the trays. | noun | business | B
ascent | 上昇、登攀 | The ascent took six hours. | noun | general | B
aspersion | 中傷 | He cast aspersions on their motives. | noun | society | C
asymmetry | 非対称 | Slight asymmetry is normal in leaves. | noun | education | C
atrocity | 残虐行為 | The tribunal recorded each atrocity. | noun | society | C
atrophy | 萎縮 | Bed rest can cause muscle atrophy. | noun | health | C
attainment | 達成 | The award recognizes lifetime attainment. | noun | education | B
attire | 服装 | Formal attire is required. | noun | daily | C
attrition | 消耗、自然減 | Staff numbers fell by attrition. | noun | business | C
attrition rate | 離職率 | The attrition rate doubled after the merger. | noun | business | C
audacity | 大胆さ | She had the audacity to ask twice. | noun | society | C
austerity | 緊縮 | Years of austerity closed rural clinics. | noun | society | B
autocracy | 独裁政治 | The essay contrasts autocracy and democracy. | noun | society | C
autonomy at work | 職場の裁量 | Autonomy at work improves morale. | noun | business | B
autopsy | 検死 | The autopsy found no poison. | noun | health | C
awe | 畏敬 | The canyon fills visitors with awe. | noun | general | B
backlog | 未処理の山 | The clinic cleared its backlog. | noun | business | B
bailout | 救済措置 | The airline received a state bailout. | noun | business | B
banter | 軽口 | Friendly banter filled the kitchen. | noun | daily | C
barrage | 集中砲火、殺到 | A barrage of questions followed. | noun | society | C
barrier to entry | 参入障壁 | High costs are a barrier to entry. | noun | business | B
beacon | かがり火、指針 | The library is a beacon for the town. | noun | society | C
belligerence | 好戦性 | The speech was full of belligerence. | noun | society | C
benevolence | 善意 | The fund depends on private benevolence. | noun | society | C
bequest | 遺贈 | A bequest funded the reading room. | noun | society | C
bewilderment | 当惑 | The rules caused general bewilderment. | noun | education | C
bigotry | 偏狭 | Schools must confront bigotry early. | noun | society | C
biopsy | 生検 | The biopsy result came back clear. | noun | health | C
blight | 枯れ病、荒廃 | Blight destroyed the potato crop. | noun | environment | C
blue chip | 優良株 | Funds prefer blue chip shares. | noun | business | C
bonanza | 大もうけ | The festival was a bonanza for cafes. | noun | business | C
bounty | 恵み、報奨金 | Autumn brings a bounty of chestnuts. | noun | environment | C
brevity | 簡潔さ | Brevity improves any report. | noun | education | C
bribery | 贈収賄 | Two officials face bribery charges. | noun | society | B
brokerage | 仲介業 | A small brokerage handled the sale. | noun | business | C
buffer | 緩衝 | Savings act as a buffer. | noun | business | B
buoyancy | 浮力 | Salt water increases buoyancy. | noun | technology | C
bystander | 傍観者 | A bystander called for help. | noun | society | B
calamity | 災難 | The quake was a national calamity. | noun | society | C
candor | 率直さ | His candor impressed the committee. | noun | business | C
carcinogen | 発がん物質 | The dye contained a known carcinogen. | noun | health | C
caricature | 風刺画 | The caricature exaggerates his nose. | noun | education | C
cartel | カルテル | Regulators broke up the cement cartel. | noun | business | C
cascade | 連鎖、小滝 | One failure caused a cascade of delays. | noun | technology | C
catalyst | 触媒、きっかけ | The grant was a catalyst for research. | noun | technology | B
cataract | 白内障 | Surgery removed the cataract. | noun | health | C
catharsis | 浄化、カタルシス | The play offers a strange catharsis. | noun | education | C
censorship | 検閲 | Censorship drove writers abroad. | noun | society | B
cessation | 中止 | Smoking cessation improves recovery. | noun | health | C
chromosome | 染色体 | Each cell carries the same chromosome set. | noun | health | C
chronicle | 年代記 | The book is a chronicle of the port. | noun | education | C
clarification | 説明、明確化 | We asked for clarification twice. | noun | business | B
clemency | 寛大な処置 | The family asked for clemency. | noun | society | C
clout | 影響力 | The union still has real clout. | noun | society | C
cluster | 集まり | A cluster of cases appeared downtown. | noun | health | B
coagulation | 凝固 | The drug slows blood coagulation. | noun | health | C
coercion | 強制 | Consent must be free of coercion. | noun | society | C
cognition | 認知 | Sleep affects memory and cognition. | noun | health | B
cohort | 同年代集団 | The study followed one cohort for years. | noun | education | B
collateral | 担保 | The loan requires no collateral. | noun | business | B
collusion | 共謀 | Regulators found no collusion. | noun | business | C
combustion chamber | 燃焼室 | Heat builds in the combustion chamber. | noun | technology | C
commemoration | 記念 | A tree was planted in commemoration. | noun | society | C
commentary on society | 社会批評 | The film is a commentary on society. | noun | education | C
commodity price | 商品価格 | Commodity prices swung sharply. | noun | business | B
commotion | 騒ぎ | A commotion broke out at the gate. | noun | society | C
compendium | 概要、便覧 | The book is a compendium of local law. | noun | education | C
compliance officer | 法令順守責任者 | The bank hired a compliance officer. | noun | business | C
compost | 堆肥 | Kitchen scraps become compost. | noun | environment | B
composure | 落ち着き | She kept her composure throughout. | noun | health | C
conception of justice | 正義の概念 | Each era has its conception of justice. | noun | education | C
concord | 調和、協定 | The village lived in quiet concord. | noun | society | C
condescension | 見下す態度 | The tone bordered on condescension. | noun | society | C
condolence | 哀悼 | The mayor sent a message of condolence. | noun | society | C
conduct unbecoming | 不適切な行為 | He was fired for conduct unbecoming. | noun | business | C
conduit | 導管、経路 | The tunnel is a conduit for cables. | noun | technology | C
confiscation | 没収 | Confiscation of the gear followed. | noun | society | C
confluence | 合流点 | The city sits at a confluence of rivers. | noun | environment | C
congenital defect | 先天的欠損 | Surgery corrected a congenital defect. | noun | health | C
conglomerate | 複合企業 | A conglomerate bought the brewery. | noun | business | B
conjecture about causes | 原因についての推測 | Much of this is conjecture about causes. | noun | education | C
connoisseur | 目利き | She is a connoisseur of old prints. | noun | general | C
connotation | 含み | The word carries a negative connotation. | noun | education | C
conscription | 徴兵 | The country abolished conscription. | noun | society | C
conservationist | 自然保護論者 | Conservationists mapped the wetland. | noun | environment | B
consortium | 企業連合 | A consortium will build the tunnel. | noun | business | C
constellation | 星座、集まり | A constellation of symptoms appeared. | noun | health | C
consternation | 驚き、狼狽 | The notice caused consternation. | noun | society | C
contemplation | 熟考 | The garden invites quiet contemplation. | noun | general | C
contingency | 不測の事態 | Every plan needs a contingency. | noun | business | B
contingency fund | 予備費 | The contingency fund covered repairs. | noun | business | C
conundrum | 難問 | Staffing remains a conundrum. | noun | business | C
convection | 対流 | Convection carries heat upward. | noun | technology | C
conveyance | 輸送、譲渡 | The contract covers conveyance of goods. | noun | business | C
conviction of guilt | 有罪判決 | The conviction of guilt was overturned. | noun | society | C
corollary | 当然の結果 | Higher demand is a corollary of growth. | noun | education | C
corrosion | 腐食 | Salt air accelerates corrosion. | noun | technology | B
counsel | 助言 | She sought counsel from a mentor. | noun | education | B
covenant | 約定、契約 | The covenant limits building height. | noun | society | C
credence | 信憑性 | New data lends credence to the theory. | noun | education | C
crevasse | 氷河の割れ目 | The guide marked every crevasse. | noun | environment | C
crevice | 裂け目 | Ferns grow in every crevice. | noun | environment | C
criterion of beauty | 美の基準 | Every age sets its criterion of beauty. | noun | education | C
crux | 核心 | Cost is the crux of the matter. | noun | business | C
culmination | 集大成 | The show is the culmination of ten years. | noun | education | C
culpability | 過失責任 | The inquiry examined corporate culpability. | noun | society | C
curator | 学芸員 | The curator arranged the exhibit. | noun | education | B
custodian | 管理人 | The custodian locks the gate at nine. | noun | daily | B
debenture | 社債 | The firm issued a ten-year debenture. | noun | business | C
debut | 初登場 | The novel made a quiet debut. | noun | education | B
decomposition | 分解、腐敗 | Decomposition returns nutrients to soil. | noun | environment | B
decree | 政令 | A decree closed the border crossing. | noun | society | C
defamation | 名誉毀損 | He sued for defamation. | noun | society | C
default on a loan | 債務不履行 | Default on a loan damages your credit. | noun | business | B
deference | 敬意、服従 | She spoke with deference to elders. | noun | society | C
deficiency in iron | 鉄分の不足 | A deficiency in iron causes fatigue. | noun | health | C
deflation | デフレ | Long deflation discouraged investment. | noun | business | B
degradation of soil | 土壌の劣化 | Degradation of soil reduces yields. | noun | environment | B
dehydration | 脱水症 | Dehydration is common in summer. | noun | health | B
delinquency | 滞納、非行 | Payment delinquency rose slightly. | noun | business | C
deluge | 大洪水 | A deluge closed the coastal road. | noun | environment | C
demagogue | 扇動政治家 | The essay warns against the demagogue. | noun | society | C
demeanor | 態度、物腰 | His calm demeanor reassured patients. | noun | health | C
demise | 消滅、死去 | Critics predicted the demise of print. | noun | business | B
denizen | 住民、生息する動物 | Owls are denizens of this forest. | noun | environment | C
denomination | 宗派、額面 | Notes come in three denominations. | noun | business | C
depiction | 描写 | The depiction of rural life is honest. | noun | education | B
depletion | 枯渇 | Depletion of stocks worries the fleet. | noun | environment | B
deportation | 国外追放 | The court halted the deportation. | noun | society | C
deprivation | 剥奪、欠乏 | Sleep deprivation harms judgment. | noun | health | B
deregulation | 規制緩和 | Deregulation opened the bus market. | noun | business | B
derivation | 派生、語源 | The derivation of the word is unclear. | noun | education | C
dermatologist | 皮膚科医 | The dermatologist prescribed a cream. | noun | health | C
despotism | 専制 | The novel depicts petty despotism. | noun | society | C
detachment | 冷静、分離 | She wrote with scholarly detachment. | noun | education | C
deterrent | 抑止力 | Fines are a weak deterrent. | noun | society | B
devaluation | 平価切り下げ | Devaluation made exports cheaper. | noun | business | C
devotion | 献身 | His devotion to teaching is clear. | noun | education | B
diagnosis of cancer | がんの診断 | Early diagnosis of cancer saves lives. | noun | health | B
diction | 言葉遣い | The essay praises her plain diction. | noun | education | C
discord | 不和 | Discord delayed the merger. | noun | business | C
discourse on ethics | 倫理をめぐる議論 | The book joins the discourse on ethics. | noun | education | C
discrepancy | 食い違い | A discrepancy appeared in the accounts. | noun | business | B
discretion | 裁量、慎重さ | Use your discretion on small refunds. | noun | business | B
disillusionment | 幻滅 | Disillusionment set in after a year. | noun | society | C
dismay | 落胆 | The closure caused public dismay. | noun | society | B
disparity in income | 所得格差 | Disparity in income widened again. | noun | society | C
dispatch | 発送 | Dispatch takes one working day. | noun | business | B
dispersal | 散布、分散 | Wind aids seed dispersal. | noun | environment | C
disposition | 気質、処分 | She has a calm disposition. | noun | health | B
dissertation | 学位論文 | He finished his dissertation in June. | noun | education | B
dissidence | 反体制 | Quiet dissidence spread through the union. | noun | society | C
docility | 従順さ | Docility is not the aim of education. | noun | education | C
dossier | 一件書類 | The inspector kept a thick dossier. | noun | business | C
downpour | 土砂降り | A sudden downpour flooded the lane. | noun | environment | B
downsizing | 人員削減 | Downsizing left the team stretched. | noun | business | B
duct | 管、ダクト | Dust collects inside the duct. | noun | technology | C
duplicity | 二枚舌 | Customers punish corporate duplicity. | noun | business | C
duress | 強迫 | The confession was made under duress. | noun | society | C
economies of scale | 規模の経済 | Economies of scale lowered the price. | noun | business | B
edict | 布告 | An old edict still governs the park. | noun | society | C
effluent | 排水 | Factories must treat their effluent. | noun | environment | C
egalitarianism | 平等主義 | The school was founded on egalitarianism. | noun | society | C
elasticity | 弾力性 | The rubber loses elasticity in cold. | noun | technology | C
electorate | 有権者 | The electorate rejected the measure. | noun | society | B
elite | 選良、精鋭 | The school trains a small elite. | noun | society | B
eloquence | 雄弁 | Her eloquence moved the audience. | noun | education | C
emancipation | 解放 | The law marked the emancipation of tenants. | noun | society | C
embargo | 禁輸 | The embargo raised fuel prices. | noun | business | B
embezzlement | 横領 | The clerk admitted embezzlement. | noun | business | C
emissary | 使者 | An emissary carried the proposal. | noun | society | C
empathy for others | 他者への共感 | The course builds empathy for others. | noun | education | C
enactment | 制定 | The enactment took three years. | noun | society | C
enclave | 飛び地 | The district is a quiet enclave. | noun | society | C
endemic species | 固有種 | The island protects its endemic species. | noun | environment | C
endowment | 寄付基金 | The endowment funds two chairs. | noun | education | B
enlightenment | 啓発、悟り | The essay traces the age of enlightenment. | noun | education | C
enmity | 敵意 | Enmity between the clans ended quietly. | noun | society | C
entitlement | 受給権 | Check your entitlement before applying. | noun | society | B
entourage | 随行団 | The singer travels with a small entourage. | noun | society | C
entropy | 無秩序の度合い | Entropy always increases in the system. | noun | education | C
enzyme | 酵素 | An enzyme breaks down the starch. | noun | health | B
epidemiology | 疫学 | She lectures on epidemiology. | noun | health | C
epithet | 形容辞、あだ名 | The epithet stuck for decades. | noun | education | C
epitome | 典型 | The inn is the epitome of simplicity. | noun | general | C
equanimity | 平静 | He faced the loss with equanimity. | noun | health | C
equilibrium | 均衡 | The market found a new equilibrium. | noun | business | B
escapade | 無分別な行い | The escapade cost him his license. | noun | daily | C
escrow | 第三者預託 | The deposit sits in escrow. | noun | business | C
espionage | スパイ活動 | The trial involved industrial espionage. | noun | society | C
estuary | 河口 | Birds feed in the shallow estuary. | noun | environment | C
euphemism | 婉曲表現 | The phrase is a polite euphemism. | noun | education | C
euphoria | 高揚感 | Post-victory euphoria faded fast. | noun | health | C
exchequer | 国庫 | The tax filled the exchequer. | noun | business | C
excretion | 排泄 | The drug leaves the body by excretion. | noun | health | C
excursion fare | 周遊運賃 | The excursion fare covers two days. | noun | business | C
exhalation | 呼気 | Each exhalation fogged the glass. | noun | health | C
exodus | 大量流出 | An exodus of nurses hit rural clinics. | noun | society | B
extradition | 身柄引き渡し | The extradition request was refused. | noun | society | C
exuberance | 活気、あふれる喜び | The crowd's exuberance was infectious. | noun | society | C
fabric of society | 社会の構造 | Trust holds the fabric of society. | noun | society | C
facade | 建物の正面、見せかけ | The facade hides a modern interior. | noun | society | C
faction | 派閥 | Two factions blocked the vote. | noun | society | B
fallacy | 誤った考え | That is a common statistical fallacy. | noun | education | B
famine relief | 飢饉救済 | Famine relief reached the valley late. | noun | society | C
fatality | 死亡者 | There were no fatalities. | noun | society | B
fauna and flora | 動植物 | The park records all fauna and flora. | noun | environment | C
feat | 偉業 | Crossing the strait was a real feat. | noun | general | B
felony | 重罪 | Fraud on that scale is a felony. | noun | society | C
fervor | 熱情 | The campaign began with great fervor. | noun | society | C
fiasco | 大失敗 | The launch was a costly fiasco. | noun | business | C
fidelity | 忠実さ | The copy has remarkable fidelity. | noun | education | C
fissure | 亀裂 | A fissure opened along the slope. | noun | environment | C
flair | 才能、センス | She has a flair for design. | noun | business | B
fluke | まぐれ | The win was no fluke. | noun | general | C
foray | 進出、遠征 | The brand made a foray into Asia. | noun | business | C
foreboding | 悪い予感 | A sense of foreboding filled the hall. | noun | general | C
forefront | 最前線 | The lab is at the forefront of research. | noun | technology | B
foresight | 先見の明 | Her foresight saved the company. | noun | business | B
forfeiture | 没収 | Late filing risks forfeiture of the grant. | noun | business | C
formality | 形式、儀礼 | The signing was a mere formality. | noun | business | B
fortification | 強化、要塞 | Flour fortification reduced deficiency. | noun | health | C
fortitude | 不屈の精神 | The crew showed great fortitude. | noun | society | C
franchise right | 選挙権 | Women gained the franchise right in 1945. | noun | society | C
fringe | 周辺、末端 | The movement began on the fringe. | noun | society | B
fringe benefit | 付加給付 | Housing is a valued fringe benefit. | noun | business | B
fusion power | 核融合エネルギー | Fusion power remains experimental. | noun | technology | C
gauge reading | 計器の読み | The gauge reading looked abnormal. | noun | technology | C
genocide | 大量虐殺 | The court defined the crime as genocide. | noun | society | C
genome | ゲノム | Scientists mapped the whole genome. | noun | health | B
geothermal energy | 地熱エネルギー | The town uses geothermal energy. | noun | environment | B
germination | 発芽 | Warm soil speeds germination. | noun | environment | C
gestation | 妊娠期間 | Gestation lasts about eleven months. | noun | health | C
gimmick | 仕掛け、目玉 | The discount is just a gimmick. | noun | business | B
glut | 供給過剰 | A glut of apples cut prices. | noun | business | C
graft | 汚職、賄賂 | Public works were plagued by graft. | noun | society | C
grandeur | 壮大さ | The hall retains its old grandeur. | noun | general | C
gratification | 満足 | Instant gratification weakens patience. | noun | health | C
gratuity | 心づけ、退職金 | A gratuity is included in the bill. | noun | daily | C
habitat fragmentation | 生息地の分断 | Roads cause habitat fragmentation. | noun | environment | C
hallmark | 特徴 | Care is the hallmark of her work. | noun | business | B
haven | 避難所 | The cove is a haven for small boats. | noun | environment | B
hedge | 保険つなぎ | Gold serves as a hedge against inflation. | noun | business | B
hegemony | 覇権 | No single firm holds hegemony here. | noun | business | C
hemorrhage | 出血 | Surgeons stopped the hemorrhage. | noun | health | C
herbivore | 草食動物 | The herbivore feeds on young shoots. | noun | environment | C
heyday | 全盛期 | In its heyday the mill employed hundreds. | noun | business | C
hiatus | 中断 | The series returned after a hiatus. | noun | education | C
hindsight | 後知恵 | With hindsight, the sign was clear. | noun | general | B
homage | 敬意、賛辞 | The festival pays homage to local weavers. | noun | society | C
hormone imbalance | ホルモンの乱れ | A hormone imbalance explains the symptoms. | noun | health | C
hub of activity | 活動の中心 | The station is a hub of activity. | noun | society | B
hurdle | 障害 | Funding is the last hurdle. | noun | business | B
hybridization | 交雑 | Hybridization produced a hardy variety. | noun | environment | C
idiom | 慣用句 | This idiom has no direct translation. | noun | education | B
immunity to disease | 病気への免疫 | Vaccines build immunity to disease. | noun | health | B
impartiality | 公平 | Judges must show impartiality. | noun | society | C
impasse | 行き詰まり | The talks reached an impasse. | noun | business | B
impeachment | 弾劾 | The assembly began impeachment hearings. | noun | society | C
imperative of growth | 成長という至上命題 | Firms question the imperative of growth. | noun | business | C
impetus | 弾み、推進力 | The grant gave fresh impetus. | noun | business | B
imprint | 痕跡、刻印 | The era left a deep imprint. | noun | education | C
impunity | 免責、おとがめなし | Nobody dumps waste with impunity now. | noun | environment | C
incarceration | 投獄 | Long incarceration hurts families. | noun | society | C
inception | 開始 | The club has grown since its inception. | noun | business | B
