# GP1（準1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、準1級（B2）帯の新規語。G2 core から再利用する745語と
#           合わせて準1級アプリの core（課金対象）になる（docs/vocab-database-spec.md §4）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準1級までの語彙で構成する（同 §6）。
#       頻出度Aの語・副詞・句動詞は gp1_new_bridge.txt（無料帯）に分けてある。
#       core を1,500語以内に収めるため（同 §3「core の語数は1,000〜1,500語」）。

# === 動詞 190語 ===
abide | 従う、耐える | We must abide by the committee's decision. | verb | society | C
asylum | 亡命、保護 | The family applied for asylum. | noun | society | C
atmosphere pressure | 気圧 | Atmosphere pressure drops with height. | noun | environment | C
attorney | 弁護士 | Her attorney requested more time. | noun | society | B
auction | 競売 | The painting sold at a charity auction. | noun | business | B
audit | 監査 | The yearly audit found no problems. | noun | business | B
autobiography | 自伝 | She published her autobiography at eighty. | noun | education | C
avalanche | 雪崩 | An avalanche closed the mountain road. | noun | environment | C
backlash | 反発 | The price rise caused a public backlash. | noun | society | B
ballot | 投票用紙、投票 | Voters marked the ballot by hand. | noun | society | B
bandwidth | 帯域幅 | Video calls use a lot of bandwidth. | noun | technology | B
benchmark | 基準 | Their service sets the industry benchmark. | noun | business | B
bid | 入札 | Three firms submitted a bid. | noun | business | B
biofuel | バイオ燃料 | Buses here run on biofuel. | noun | environment | B
bloodstream | 血流 | The drug enters the bloodstream quickly. | noun | health | C
blueprint | 青写真、設計図 | The blueprint shows two exits. | noun | technology | B
boredom | 退屈 | Long waits cause real boredom. | noun | daily | B
breed | 品種 | This breed of dog needs long walks. | noun | environment | B
bulk order | 大口注文 | We offer discounts on bulk orders. | noun | business | C
bureau | 局、事務所 | The weather bureau issued a warning. | noun | society | B
byproduct | 副産物 | Heat is a byproduct of the process. | noun | technology | C
calorie intake | カロリー摂取量 | Reduce your daily calorie intake slowly. | noun | health | B
campaign pledge | 選挙公約 | Voters remembered his campaign pledge. | noun | society | C
cargo | 積荷 | The cargo arrived two days late. | noun | business | B
catastrophe | 大惨事 | The dam prevented a catastrophe. | noun | environment | B
cavity | 虫歯、空洞 | The dentist found one small cavity. | noun | health | B
census data | 国勢調査のデータ | Planners rely on census data. | noun | society | C
certificate of completion | 修了証 | Each student receives a certificate of completion. | noun | education | B
chore | 雑用 | Weekend chores take three hours. | noun | daily | B
circulation | 循環、発行部数 | Gentle exercise improves circulation. | noun | health | B
civic duty | 市民の義務 | Voting is a basic civic duty. | noun | society | B
clause | 条項 | Read the cancellation clause carefully. | noun | business | B
clientele | 顧客層 | The cafe has a loyal clientele. | noun | business | C
climate model | 気候モデル | The climate model predicts drier summers. | noun | environment | B
coalition | 連立、連合 | A coalition of groups opposed the plan. | noun | society | C
combustion | 燃焼 | Combustion engines are being replaced. | noun | technology | C
commuter pass | 定期券 | He lost his commuter pass again. | noun | daily | B
comparison chart | 比較表 | The comparison chart helped buyers decide. | noun | business | C
competence | 能力 | The test measures language competence. | noun | education | B
competitor analysis | 競合分析 | The team presented a competitor analysis. | noun | business | C
concession | 譲歩 | The union won a small concession. | noun | business | C
confession | 告白、自白 | His confession surprised everyone. | noun | society | C
conformity | 同調 | Schools sometimes reward conformity. | noun | education | C
consequence of delay | 遅延の結果 | The consequence of delay was a lost order. | noun | business | B
conspiracy | 陰謀 | The film is about a political conspiracy. | noun | society | C
constraint | 制約 | Budget constraints delayed the repairs. | noun | business | B
consultation fee | 相談料 | The first consultation fee is waived. | noun | business | C
consumer confidence | 消費者信頼感 | Consumer confidence fell last quarter. | noun | business | B
contamination | 汚染 | Tests found no water contamination. | noun | environment | B
contempt | 軽蔑 | She showed open contempt for the rule. | noun | society | C
contractor | 請負業者 | The contractor finished ahead of schedule. | noun | business | B
contradiction | 矛盾 | There is a contradiction in his story. | noun | education | B
conviction that | 〜という確信 | She holds a strong conviction that reading matters. | noun | education | C
corruption | 汚職 | Corruption slowed the rebuilding. | noun | society | B
counterargument | 反論 | The essay ignores the obvious counterargument. | noun | education | C
credential | 資格、証明書 | Please upload your teaching credential. | noun | education | C
creditor | 債権者 | Creditors agreed to delay payment. | noun | business | C
criterion | 基準 | Cost is not the only criterion. | noun | business | B
critique | 批評 | The workshop ends with a short critique. | noun | education | C
cuisine | 料理 | The town is famous for its cuisine. | noun | daily | B
custody | 保護、親権 | The child was placed in temporary custody. | noun | society | C
deadline extension | 締め切りの延長 | We asked for a deadline extension. | noun | business | B
deadline pressure | 締め切りの重圧 | Deadline pressure affects sleep. | noun | business | B
dealer | 販売業者 | The dealer offered a free checkup. | noun | business | B
debris | 破片、がれき | Volunteers cleared debris from the beach. | noun | environment | B
decay | 腐敗、衰退 | Sugar speeds up tooth decay. | noun | health | B
dedication | 献身 | Her dedication impressed the whole staff. | noun | society | B
deficit spending | 赤字財政 | Deficit spending rose during the crisis. | noun | business | C
delegation | 代表団 | A trade delegation visited the port. | noun | business | C
demand forecast | 需要予測 | The demand forecast proved too optimistic. | noun | business | C
democracy index | 民主主義指数 | The democracy index fell slightly. | noun | society | C
demographics | 人口統計 | Rural demographics are changing fast. | noun | society | B
denial | 否定 | The office issued a flat denial. | noun | society | B
density | 密度 | The city has a high housing density. | noun | society | B
depreciation | 減価償却、価値の下落 | Depreciation reduces the car's value. | noun | business | C
descendant | 子孫 | Her descendants still farm this land. | noun | society | C
desertification | 砂漠化 | Tree planting slows desertification. | noun | environment | C
despair | 絶望 | Long unemployment breeds despair. | noun | society | B
destiny | 運命 | He believed in his own destiny. | noun | general | C
detection | 検知、発見 | Early detection improves survival rates. | noun | health | B
deterioration | 悪化、劣化 | The bridge shows signs of deterioration. | noun | technology | C
determination to win | 勝つ決意 | Their determination to win was clear. | noun | education | B
diameter | 直径 | The pipe has a small diameter. | noun | technology | B
dictatorship | 独裁政治 | The country escaped a long dictatorship. | noun | society | C
disclosure | 開示 | Full disclosure builds investor trust. | noun | business | B
disparity | 格差 | The wage disparity grew last decade. | noun | society | B
dissent | 異議 | The board allowed open dissent. | noun | society | C
distress | 苦悩、遭難 | The ship sent a distress signal. | noun | society | B
district office | 区役所 | Apply at the district office. | noun | society | B
dividend | 配当 | The company raised its dividend. | noun | business | C
donor | 寄付者、提供者 | An unknown donor paid for the piano. | noun | society | B
dosage | 服用量 | Follow the dosage on the label. | noun | health | B
downturn | 景気後退 | The downturn hit small shops hardest. | noun | business | B
draft contract | 契約書の草案 | Please review the draft contract. | noun | business | B
drawback | 欠点 | The main drawback is the price. | noun | general | B
ecosystem collapse | 生態系の崩壊 | Overfishing may cause ecosystem collapse. | noun | environment | C
efficacy | 効き目 | Trials confirmed the vaccine's efficacy. | noun | health | C
emergence | 出現 | The emergence of new tools changed teaching. | noun | technology | B
emission standard | 排出基準 | Trucks must meet the emission standard. | noun | environment | B
encounter with | 〜との遭遇 | Her encounter with a bear was brief. | noun | environment | B
endeavor | 努力、試み | The rescue endeavor lasted all night. | noun | society | C
endorsement | 推薦、支持 | The product gained a celebrity endorsement. | noun | business | B
enforcement | 施行、執行 | Stricter enforcement cut illegal parking. | noun | society | B
entity | 組織体、存在 | The branch is a separate legal entity. | noun | business | C
equality of access | 機会の平等 | The law aims at equality of access. | noun | society | C
equity | 株式、公平 | The fund holds equity in two startups. | noun | business | B
erosion | 侵食 | Soil erosion worsens after logging. | noun | environment | B
ethics committee | 倫理委員会 | The ethics committee approved the study. | noun | education | C
ethnicity | 民族性 | The form no longer asks about ethnicity. | noun | society | C
etiquette | 礼儀作法 | Business etiquette differs by country. | noun | business | B
evacuation drill | 避難訓練 | The school holds an evacuation drill yearly. | noun | society | B
expectation gap | 期待とのずれ | An expectation gap caused the complaint. | noun | business | C
extent of damage | 被害の程度 | The extent of damage is still unclear. | noun | environment | B
fairness | 公平さ | Voters demanded fairness in the process. | noun | society | B
fame | 名声 | Sudden fame changed his daily life. | noun | society | B
famine | 飢饉 | The famine followed three dry years. | noun | society | C
fatigue | 疲労 | Metal fatigue caused the crack. | noun | health | B
fauna | 動物相 | The island's fauna is unique. | noun | environment | C
federation | 連盟 | The federation sets the safety rules. | noun | society | C
feedback loop | フィードバックの循環 | Reviews create a useful feedback loop. | noun | business | C
fellowship | 研究奨学金、交流 | She won a research fellowship. | noun | education | C
flaw | 欠陥 | The design has one serious flaw. | noun | technology | B
fleet | 車両群、艦隊 | The firm replaced its delivery fleet. | noun | business | C
fluctuation | 変動 | Price fluctuations worry importers. | noun | business | B
foliage | 葉、木の葉 | Autumn foliage attracts many visitors. | noun | environment | C
formula | 公式、調合 | The formula predicts the growth rate. | noun | education | B
fraction | ごく一部、分数 | Only a fraction of waste is recycled. | noun | education | B
fragment | 断片 | Fragments of pottery lay in the soil. | noun | education | B
franchise | フランチャイズ | They bought a coffee franchise. | noun | business | B
fraud | 詐欺 | The bank blocked a card for fraud. | noun | business | B
freight | 貨物輸送 | Freight costs doubled this year. | noun | business | C
frequency band | 周波数帯 | The radio uses a narrow frequency band. | noun | technology | C
friction | 摩擦 | Oil reduces friction between parts. | noun | technology | B
fundraising | 資金集め | The fundraising event was a success. | noun | society | B
galaxy | 銀河 | Our galaxy contains billions of stars. | noun | education | B
genetics | 遺伝学 | Genetics explains part of the risk. | noun | health | B
gesture of thanks | 感謝のしるし | The flowers were a gesture of thanks. | noun | daily | B
glimpse of hope | 希望の兆し | The data offers a glimpse of hope. | noun | general | C
governance | 統治、企業統治 | Good governance builds public trust. | noun | business | B
grassroots movement | 草の根運動 | A grassroots movement saved the park. | noun | society | C
gravity | 重力 | Gravity pulls the water downhill. | noun | education | B
grievance | 苦情、不満 | Staff may file a formal grievance. | noun | business | C
groundwater | 地下水 | Farms depend on clean groundwater. | noun | environment | B
guardian | 保護者 | A guardian must sign the form. | noun | education | B
hardship | 苦難 | Many families faced real hardship. | noun | society | B
hemisphere | 半球 | Winter begins in the southern hemisphere. | noun | education | C
heritage site | 遺産登録地 | The castle became a heritage site. | noun | society | B
hindrance | 妨げ | Poor internet is a hindrance to study. | noun | education | C
hobbyist | 趣味人 | Hobbyists gather here every Sunday. | noun | daily | C
hospitality industry | 接客業 | The hospitality industry recovered slowly. | noun | business | B
hostility | 敵意 | Old hostility between the towns faded. | noun | society | C
humanity | 人類、人間性 | The disaster showed the best of humanity. | noun | society | B
humility | 謙虚さ | He accepted the prize with humility. | noun | society | C
ignorance | 無知 | Ignorance of the rule is no excuse. | noun | society | B
illusion | 錯覚 | Cheap credit created an illusion of wealth. | noun | society | B
imbalance | 不均衡 | There is a gender imbalance in the field. | noun | society | B
immigration policy | 移民政策 | Immigration policy is under review. | noun | society | B
implication | 影響、含意 | The result has wide implications. | noun | education | B
incentive scheme | 報奨制度 | The incentive scheme raised productivity. | noun | business | C
incentive to study | 学習の動機づけ | Scholarships give an incentive to study. | noun | education | B
incidence | 発生率 | The incidence of flu peaked in January. | noun | health | C
inclination | 傾向、意向 | He shows no inclination to retire. | noun | general | C
indicator | 指標 | Bird numbers are a useful indicator. | noun | environment | B
inhabitant | 住民 | The island has few permanent inhabitants. | noun | society | B
initiative to reduce waste | ごみ削減の取り組み | The initiative to reduce waste succeeded. | noun | environment | B
injustice | 不正、不公平 | The film exposes a historical injustice. | noun | society | B
insolvency | 支払い不能 | The chain filed for insolvency. | noun | business | C
inspection report | 検査報告書 | The inspection report noted two faults. | noun | business | B
installment | 分割払い | You can pay in six installments. | noun | business | B
insulation | 断熱材 | Good insulation lowers heating bills. | noun | technology | B
intake of salt | 塩分の摂取 | Lower your intake of salt gradually. | noun | health | B
integration | 統合 | Social integration takes years. | noun | society | B
interval | 間隔 | Take a short break at regular intervals. | noun | health | B
intervention | 介入 | Early intervention saves lives. | noun | health | B
intruder | 侵入者 | The alarm detected an intruder. | noun | society | C
invasion | 侵入、侵略 | The invasion of foreign plants worries farmers. | noun | environment | B
inventory | 在庫 | We count inventory every Monday. | noun | business | B
itinerary | 旅程 | Please send the final itinerary. | noun | daily | B
jurisdiction | 管轄権 | The case falls outside our jurisdiction. | noun | society | C
juvenile crime | 少年犯罪 | Juvenile crime has fallen steadily. | noun | society | C
landlord | 家主 | The landlord repaired the leaking pipe. | noun | daily | B
layoff | 一時解雇 | The layoffs affected sixty workers. | noun | business | B
lease | 賃貸契約 | The lease runs for three years. | noun | business | B
legacy | 遺産、遺物 | The bridge is a legacy of the last century. | noun | society | B
liability | 法的責任、負債 | The clause limits our liability. | noun | business | C
liberty | 自由 | The statue is a symbol of liberty. | noun | society | B
lifespan | 寿命 | The battery has a five-year lifespan. | noun | technology | B
likelihood | 見込み | The likelihood of rain is low. | noun | general | B
limb | 手足 | The injury affected his left limb. | noun | health | C
livelihood | 生計 | Fishing is their main livelihood. | noun | society | B
logistics | 物流 | Better logistics cut delivery time. | noun | business | B
longevity | 長寿 | Diet may explain the region's longevity. | noun | health | C
loophole | 抜け穴 | The law has an obvious loophole. | noun | society | C
machinery | 機械類 | Farm machinery needs yearly checks. | noun | technology | B
malfunction | 故障 | A sensor malfunction stopped the line. | noun | technology | B
malnutrition | 栄養失調 | Aid workers treat child malnutrition. | noun | health | B
massacre | 虐殺 | The museum records the wartime massacre. | noun | society | C
mastery | 熟達 | Mastery of grammar takes time. | noun | education | B
mediation | 調停 | Mediation ended the labor dispute. | noun | business | C
mentor | 助言者 | Every new nurse gets a mentor. | noun | education | B
merchandise | 商品 | The store returned damaged merchandise. | noun | business | B
merger | 合併 | The merger created a larger bank. | noun | business | B
metabolism | 代謝 | Exercise raises your metabolism. | noun | health | B
metaphor | 比喩 | The poem uses a simple metaphor. | noun | education | B
methodology | 方法論 | The paper explains its methodology. | noun | education | C
microbe | 微生物 | Soil microbes break down waste. | noun | environment | C
migration route | 移動経路 | Warming shifted the migration route. | noun | environment | B
milestone | 節目 | Graduation is an important milestone. | noun | education | B
militant group | 過激派集団 | A militant group claimed responsibility. | noun | society | C
ministry of health | 厚生省 | The ministry of health issued guidance. | noun | society | B
misconception | 誤解 | A common misconception is that bats are blind. | noun | education | B
moisture level | 湿度、水分量 | Sensors check the soil moisture level. | noun | environment | C
momentum | 勢い | The campaign gained momentum online. | noun | business | B
monarchy | 君主制 | The country kept a symbolic monarchy. | noun | society | C
morale | 士気 | Staff morale improved after the raise. | noun | business | B
mortgage payment | 住宅ローンの返済 | Their mortgage payment rose again. | noun | business | B
motive | 動機 | Police could not find a motive. | noun | society | B
mutation | 突然変異 | A single mutation changed the virus. | noun | health | B
narrative | 物語、語り | The museum presents a clear narrative. | noun | education | B
negligence | 過失、怠慢 | The accident resulted from negligence. | noun | society | C
neutrality | 中立 | The referee must keep strict neutrality. | noun | society | C
niche market | 隙間市場 | The brand found a profitable niche market. | noun | business | C
nonprofit organization | 非営利団体 | She works for a small nonprofit organization. | noun | society | B
norm | 規範、標準 | Remote meetings became the norm. | noun | society | B
nuisance | 迷惑なもの | Late-night noise is a real nuisance. | noun | daily | B
nutrition label | 栄養表示 | Read the nutrition label before buying. | noun | health | B
oath | 誓い | Witnesses take an oath before speaking. | noun | society | C
objection | 異議 | The lawyer raised a strong objection. | noun | society | B
obligation to report | 報告義務 | Doctors have an obligation to report abuse. | noun | health | C
oppression | 抑圧 | The novel describes political oppression. | noun | society | C
organism | 生物 | Tiny organisms live in the pond. | noun | environment | B
outlet store | アウトレット店 | The outlet store sells last year's models. | noun | business | B
output target | 生産目標 | The plant met its output target. | noun | business | C
outrage | 激怒 | The decision caused public outrage. | noun | society | B
outset | 最初 | We agreed on the rules at the outset. | noun | business | C
overhead costs | 間接費 | Working from home cut overhead costs. | noun | business | C
oversight | 監督、見落とし | The error was a simple oversight. | noun | business | B
particle pollution | 粒子状汚染 | Particle pollution rises in winter. | noun | environment | C
patriotism | 愛国心 | Patriotism can unite or divide people. | noun | society | C
payroll | 給与支払い名簿 | Payroll is processed on the 25th. | noun | business | B
penalty clause | 違約金条項 | The penalty clause worried the supplier. | noun | business | C
perseverance | 忍耐力 | Perseverance matters more than talent. | noun | education | B
pesticide residue | 残留農薬 | Tests found no pesticide residue. | noun | environment | C
petition | 嘆願書 | Residents signed a petition against the road. | noun | society | B
portfolio | 作品集、資産構成 | She showed her design portfolio. | noun | business | B
precipitation | 降水 | Annual precipitation has decreased. | noun | environment | C
predator | 捕食者 | Foxes are the main predator here. | noun | environment | B
premium | 保険料、割増金 | The insurance premium went up. | noun | business | B
prevalence | 普及、有病率 | The prevalence of allergies is rising. | noun | health | C
procurement | 調達 | Procurement rules apply to all offices. | noun | business | C
prosecutor | 検察官 | The prosecutor called three witnesses. | noun | society | C
prospectus | 目論見書、案内書 | Read the fund prospectus carefully. | noun | business | C
prosthetic limb | 義肢 | He runs with a prosthetic limb. | noun | health | C
protocol | 手順、議定書 | Follow the safety protocol exactly. | noun | technology | B
province | 州、地方 | The province has its own tax rules. | noun | society | B
quarantine | 隔離 | Sick animals were kept in quarantine. | noun | health | B
quota | 割り当て | The team met its sales quota. | noun | business | B
reasoning | 推論 | Explain the reasoning behind your choice. | noun | education | B
recollection | 記憶 | My recollection of that day is vague. | noun | general | C
reconciliation | 和解 | The talks ended in quiet reconciliation. | noun | society | C
recycling rate | リサイクル率 | The city's recycling rate reached sixty percent. | noun | environment | B
reef | 岩礁、サンゴ礁 | Warm water damaged the reef. | noun | environment | B
referendum | 国民投票 | The referendum drew a huge turnout. | noun | society | C
reform bill | 改革法案 | The reform bill passed narrowly. | noun | society | C
refurbishment | 改装 | The hotel closed for refurbishment. | noun | business | C
regime | 政権、体制 | The old regime fell peacefully. | noun | society | C
rehabilitation | 社会復帰、リハビリ | The program supports rehabilitation after injury. | noun | health | B
reimbursement | 払い戻し | Submit receipts for reimbursement. | noun | business | B
remittance | 送金 | Workers send monthly remittances home. | noun | business | C
replica | 複製 | The museum shows a full-size replica. | noun | education | C
resentment | 憤り | Unfair pay created deep resentment. | noun | business | C
reservoir | 貯水池 | The reservoir is only half full. | noun | environment | B
residue | 残留物 | Wipe off any soap residue. | noun | health | C
resolution to exercise | 運動する決意 | Her new year resolution to exercise lasted. | noun | health | B
respiratory illness | 呼吸器疾患 | Smoke worsens respiratory illness. | noun | health | B
revenue stream | 収入源 | Ads became a second revenue stream. | noun | business | B
revolt | 反乱 | The tax caused a farmers' revolt. | noun | society | C
rivalry | 競争関係 | The rivalry between the schools is friendly. | noun | society | B
runoff | 流出水 | Farm runoff pollutes the stream. | noun | environment | C
sanctuary | 保護区、避難所 | The island is a bird sanctuary. | noun | environment | C
sanitation | 公衆衛生 | Clean water and sanitation save lives. | noun | health | B
satellite image | 衛星画像 | Satellite images show the flooding. | noun | technology | B
scandal | 醜聞 | The scandal forced the chairman out. | noun | society | B
sector growth | 部門の成長 | Service sector growth slowed slightly. | noun | business | C
sediment | 堆積物 | Sediment builds up behind the dam. | noun | environment | C
semiconductor | 半導体 | Semiconductor supply improved this year. | noun | technology | B
sentiment | 感情、意見 | Public sentiment turned against the plan. | noun | society | B
settlement | 解決、集落 | Both sides reached a settlement. | noun | business | B
simplicity | 単純さ | The design's simplicity makes it useful. | noun | general | B
simulation | シミュレーション | The simulation predicts traffic flow. | noun | technology | B
skepticism | 懐疑 | Scientists met the claim with skepticism. | noun | education | C
solidarity | 連帯 | Workers showed solidarity with the strikers. | noun | society | C
sovereignty | 主権 | The treaty respects national sovereignty. | noun | society | C
species diversity | 種の多様性 | Logging reduces species diversity. | noun | environment | B
specimen | 標本 | The lab stores ten thousand specimens. | noun | education | C
spectator | 観客 | Spectators filled the small stadium. | noun | general | B
sponsorship | 後援 | The race depends on local sponsorship. | noun | business | B
standpoint | 観点 | From a safety standpoint, it is fine. | noun | business | B
stem cell | 幹細胞 | Stem cell research continues to advance. | noun | health | C
stereotype | 固定観念 | The ad repeats an old stereotype. | noun | society | B
stockholder meeting | 株主総会 | The stockholder meeting lasted two hours. | noun | business | C
subsidy | 補助金 | Farmers receive a small subsidy. | noun | society | B
supervision | 監督 | Children need adult supervision here. | noun | education | B
supplement to income | 収入の足し | Weekend work is a supplement to income. | noun | business | C
surplus | 余剰、黒字 | The country reported a trade surplus. | noun | business | B
surveillance | 監視 | Camera surveillance raises privacy concerns. | noun | technology | B
sustainability report | 持続可能性報告書 | The firm publishes a sustainability report. | noun | business | C
symptom relief | 症状の緩和 | The tea gives mild symptom relief. | noun | health | C
tariff | 関税 | New tariffs raised import prices. | noun | business | B
tenure | 在職期間、終身在職権 | Her tenure as director ended in May. | noun | business | C
testimony | 証言 | Her testimony changed the case. | noun | society | C
threshold | 敷居、境界値 | Noise passed the legal threshold. | noun | technology | B
trademark | 商標 | The logo is a registered trademark. | noun | business | B
trait | 特性 | Patience is a useful trait in teaching. | noun | education | B
trajectory | 軌道、進路 | The rocket followed a steep trajectory. | noun | technology | C
transplant | 移植 | She waited two years for a transplant. | noun | health | B
treaty | 条約 | Both nations signed the climate treaty. | noun | society | B
tuition waiver | 授業料免除 | The tuition waiver helped many students. | noun | education | C
turbine | タービン | Each turbine powers three hundred homes. | noun | technology | B
turnout | 投票率、人出 | Voter turnout reached a record high. | noun | society | B
turnover | 離職率、売上高 | Staff turnover fell after the raise. | noun | business | B
underwriter | 引受人 | The underwriter reviewed the risk. | noun | business | C
uprising | 蜂起 | The uprising began in the capital. | noun | society | C
vaccination rate | 接種率 | The vaccination rate reached ninety percent. | noun | health | B
vegetation | 植生 | Thick vegetation covers the slope. | noun | environment | B
velocity | 速度 | The sensor records wind velocity. | noun | technology | C
ventilation | 換気 | Good ventilation reduces indoor moisture. | noun | health | B
venture capital | ベンチャー資本 | Venture capital funded the first year. | noun | business | B
verdict | 評決 | The jury reached a verdict quickly. | noun | society | C
viewpoint | 見解 | Consider the reader's viewpoint. | noun | education | B
wastewater | 廃水 | The plant treats city wastewater. | noun | environment | B
watershed | 分水嶺、流域 | Logging changed the whole watershed. | noun | environment | C
wavelength | 波長 | Each color has its own wavelength. | noun | technology | C
welfare benefits | 生活保護 | Fewer families now receive welfare benefits. | noun | society | B
wholesale price | 卸売価格 | Wholesale prices rose in July. | noun | business | B
wildlife corridor | 野生動物の回廊 | A wildlife corridor links the two forests. | noun | environment | C
withdrawal | 引き出し、撤退 | The withdrawal took only a minute. | noun | business | B
workplace safety | 職場の安全 | Workplace safety training is required. | noun | business | B
