# GP2（準2級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: 2級アプリの語彙（3,955語）に無い、準2級（A2）帯の語。
#           これが準2級アプリの「買う理由」になる（docs/vocab-database-spec.md §4 ルールA）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準2級までの語彙で構成する（同 §6）
apron | エプロン | She wore an apron while cooking. | noun | daily | C
battery charger | 充電器 | The battery charger stopped working. | noun | technology | C
bolt | ボルト | Tighten the bolt with a wrench. | noun | technology | C
flashcard | 単語カード | She studies with flashcards every night. | noun | education | B
glue | のり | Stick the paper with glue. | noun | education | B
highlighter | 蛍光ペン | Mark the key words with a highlighter. | noun | education | B
magnet | 磁石 | A magnet holds the note on the door. | noun | technology | B
paper clip | クリップ | Fasten the pages with a paper clip. | noun | business | C
pliers | ペンチ | Cut the wire with pliers. | noun | technology | C
screwdriver | ねじ回し | I need a small screwdriver. | noun | technology | C
sharpener | 鉛筆削り | The sharpener is on my desk. | noun | education | C
stapler | ホチキス | Pass me the stapler, please. | noun | business | C
tape measure | 巻き尺 | Measure the desk with a tape measure. | noun | daily | C
toolbox | 道具箱 | His toolbox is under the stairs. | noun | technology | C
wrench | レンチ | Loosen the nut with a wrench. | noun | technology | C
air conditioner | 冷房装置 | The air conditioner is too cold. | noun | daily | A
bar code | バーコード | The clerk scanned the bar code. | noun | business | B
bicycle parking | 駐輪場 | Leave your bike in the bicycle parking. | noun | society | B
blood donation | 献血 | He gives a blood donation twice a year. | noun | health | C
bus route | バス路線 | This bus route was changed. | noun | daily | B
camping site | キャンプ場 | The camping site is beside a river. | noun | environment | B
cash payment | 現金払い | Cash payment gets a small discount. | noun | business | B
ceremony hall | 式場 | The ceremony hall holds three hundred people. | noun | society | C
change of address | 住所変更 | Report your change of address early. | noun | society | C
cleaning staff | 清掃員 | The cleaning staff work at night. | noun | business | C
drinking water | 飲料水 | Drinking water is provided free. | noun | health | B
elevator button | エレベーターのボタン | She pressed the elevator button twice. | noun | daily | C
entrance hall | 玄関ホール | Wait for me in the entrance hall. | noun | daily | B
fire escape | 非常階段 | Use the fire escape in an emergency. | noun | society | B
fitting room | 試着室 | Only three items in the fitting room. | noun | business | B
free of charge | 無料で | Delivery is free of charge. | adjective | business | B
health center | 保健所 | The health center offers free checkups. | noun | health | B
information desk | 案内所 | Ask at the information desk downstairs. | noun | business | B
lost item | 遺失物 | Report any lost item to the staff. | noun | society | C
meeting point | 集合場所 | The meeting point is the main gate. | noun | daily | B
night view | 夜景 | The night view from here is famous. | noun | daily | B
noise pollution | 騒音公害 | Noise pollution troubles the neighborhood. | noun | environment | C
opening hours | 開館時間 | Check the opening hours before you go. | noun | business | B
outdoor activity | 野外活動 | Outdoor activities are popular in spring. | noun | daily | B
parking fee | 駐車料金 | The parking fee is three hundred yen. | noun | business | B
power outage | 停電 | A power outage lasted two hours. | noun | society | B
public bath | 公衆浴場 | This town has an old public bath. | noun | society | C
rest area | 休憩所 | We stopped at a highway rest area. | noun | daily | B
safety check | 安全点検 | A safety check is done monthly. | noun | society | B
seating area | 座席区域 | The seating area was quite small. | noun | daily | C
self service | セルフサービス | This cafe is self service. | noun | business | B
smoking area | 喫煙所 | The smoking area is outside. | noun | society | B
staff entrance | 職員通用口 | Use the staff entrance at the back. | noun | business | C
ticket machine | 券売機 | The ticket machine takes coins only. | noun | daily | B
trash can | ごみ箱 | The trash can is already full. | noun | daily | B
water bill | 水道料金 | Our water bill rose this month. | noun | society | B
weather forecast | 天気予報 | The weather forecast says rain tomorrow. | noun | environment | A
bend | 曲げる | Bend your knees before you jump. | verb | health | B
bite | かむ | The dog never bites anyone. | verb | daily | B
bounce | 弾む | The ball bounced off the wall. | verb | daily | C
chase | 追いかける | The cat chased a small bird. | verb | daily | B
chew | かむ | Chew your food slowly. | verb | health | B
crawl | はう | The baby crawled across the floor. | verb | daily | C
decorate | 飾る | We decorated the room with flowers. | verb | daily | B
drag | 引きずる | He dragged the heavy box outside. | verb | daily | B
fetch | 取ってくる | The dog fetched the stick. | verb | daily | C
fold | 折りたたむ | Fold the towels and put them away. | verb | daily | B
forbid | 禁じる | The school forbids mobile phones in class. | verb | education | B
glance | ちらっと見る | She glanced at her watch. | verb | general | B
guess | 推測する | Guess how old this tree is. | verb | general | A
hang | 掛ける | Hang your jacket on the hook. | verb | daily | A
hug | 抱きしめる | She hugged her little brother. | verb | general | B
kneel | ひざまずく | He knelt to tie his shoe. | verb | general | C
lean | 寄りかかる | Do not lean against the door. | verb | daily | B
leap | 跳ぶ | The frog leaped into the pond. | verb | environment | C
owe | 借りがある | I owe you five hundred yen. | verb | business | B
participate | 参加する | Everyone participated in the cleanup. | verb | society | A
polish | 磨く | He polished his shoes carefully. | verb | daily | B
pronounce | 発音する | How do you pronounce this word? | verb | education | A
punish | 罰する | The teacher rarely punishes students. | verb | education | B
quit | やめる | He quit smoking last year. | verb | health | A
resist | 抵抗する | I could not resist the smell of bread. | verb | general | B
rub | こする | She rubbed her tired eyes. | verb | health | B
ruin | 台なしにする | Rain ruined our picnic. | verb | daily | B
rush | 急ぐ | Do not rush your homework. | verb | education | A
scream | 叫ぶ | Someone screamed in the dark street. | verb | general | B
sew | 縫う | She sewed a button on my shirt. | verb | daily | C
shake | 振る | Shake the bottle before opening it. | verb | daily | A
sigh | ため息をつく | He sighed and closed the book. | verb | general | B
skip | 抜かす | Never skip breakfast. | verb | health | B
slip | 滑る | She slipped on the icy road. | verb | daily | B
sneeze | くしゃみをする | He sneezed three times in a row. | verb | health | C
spill | こぼす | I spilled coffee on my desk. | verb | daily | B
spin | 回る | The wheel spun slowly. | verb | technology | C
split | 分ける | Let us split the bill. | verb | business | B
spoil | だめにする | Heat will spoil the milk. | verb | daily | B
squeeze | 絞る | Squeeze the lemon over the fish. | verb | daily | B
stare | じっと見る | The child stared at the puppy. | verb | general | B
stir | かき混ぜる | Stir the soup with a spoon. | verb | daily | B
submit | 提出する | Submit your form before Friday. | verb | business | A
swallow | 飲み込む | Swallow the pill with water. | verb | health | B
swear | 誓う | He swore to tell the truth. | verb | society | C
sweep | 掃く | Sweep the floor before you leave. | verb | daily | B
tap | 軽くたたく | She tapped the screen twice. | verb | technology | B
tighten | 締める | Tighten the screw a little more. | verb | technology | C
twist | ねじる | He twisted his ankle on the stairs. | verb | health | B
unite | 団結する | The town united after the flood. | verb | society | C
unlock | 解錠する | Unlock the door with this key. | verb | daily | B
urge | 促す | Doctors urge people to exercise. | verb | health | B
wander | ぶらつく | We wandered around the old town. | verb | daily | B
wipe | ふく | Wipe the table after dinner. | verb | daily | B
yell | どなる | Do not yell in the library. | verb | education | B
additional | 追加の | Additional seats were prepared. | adjective | business | B
aggressive | 攻撃的な | That dog looks aggressive. | adjective | general | B
bold | 大胆な | It was a bold decision. | adjective | general | B
careless | 不注意な | A careless mistake cost us the game. | adjective | general | B
chilly | 肌寒い | The evening air feels chilly. | adjective | environment | B
clever | 利口な | That was a clever answer. | adjective | general | B
clumsy | 不器用な | He is clumsy with chopsticks. | adjective | general | C
concerned | 心配している | Parents are concerned about the change. | adjective | society | B
cruel | 残酷な | It is cruel to leave a pet alone. | adjective | general | B
cultural | 文化の | The festival has deep cultural meaning. | adjective | society | B
delicate | 繊細な | Handle this delicate glass carefully. | adjective | general | B
doubtful | 疑わしい | His story sounds doubtful. | adjective | general | C
elegant | 優雅な | She wore an elegant dress. | adjective | daily | B
extreme | 極端な | Extreme heat closed the pool. | adjective | environment | B
faithful | 忠実な | The dog stayed faithful to its owner. | adjective | general | C
fierce | 激しい | A fierce wind shook the trees. | adjective | environment | B
fluent | 流ちょうな | She is fluent in three languages. | adjective | education | B
foggy | 霧の深い | The road was foggy this morning. | adjective | environment | B
foolish | 愚かな | It was foolish to go out alone. | adjective | general | B
formal | 正式な | Wear formal clothes to the ceremony. | adjective | business | B
gifted | 才能のある | He is a gifted young writer. | adjective | education | C
golden | 金色の | The hills turned golden at sunset. | adjective | environment | C
greedy | 欲深い | Do not be greedy with the snacks. | adjective | general | C
handy | 便利な | This small tool is very handy. | adjective | daily | B
harsh | 厳しい | The winter here is harsh. | adjective | environment | B
hidden | 隠れた | A hidden path leads to the beach. | adjective | environment | B
horrible | ひどい | The soup tasted horrible. | adjective | daily | B
innocent | 無実の | The court found him innocent. | adjective | society | B
internal | 内部の | The company made internal changes. | adjective | business | C
invisible | 目に見えない | Germs are invisible to the eye. | adjective | health | B
keen | 熱心な | She is keen on classical music. | adjective | general | B
limited | 限られた | We have limited time today. | adjective | business | A
loose | ゆるい | This screw is loose. | adjective | technology | B
loyal | 忠実な | He has loyal customers. | adjective | business | B
lucky | 幸運な | You are lucky to get a seat. | adjective | general | A
mature | 成熟した | She is mature for her age. | adjective | general | B
mild | 穏やかな | The climate is mild all year. | adjective | environment | B
minor | 小さな | It was only a minor injury. | adjective | health | B
modest | 控えめな | He is modest about his success. | adjective | general | C
mysterious | 神秘的な | A mysterious light appeared in the sky. | adjective | general | B
nasty | 不快な | There is a nasty smell in here. | adjective | daily | C
naughty | いたずらな | The naughty boy hid my shoes. | adjective | daily | C
noble | 高貴な | It was a noble act of kindness. | adjective | society | C
numerous | 多数の | Numerous visitors came this weekend. | adjective | society | B
obedient | 従順な | Their dog is quiet and obedient. | adjective | daily | C
odd | 奇妙な | That is an odd question. | adjective | general | B
oral | 口頭の | We had an oral exam today. | adjective | education | B
painful | 苦痛な | The injection was not painful. | adjective | health | B
poisonous | 有毒な | Some snakes here are poisonous. | adjective | environment | B
pregnant | 妊娠した | Pregnant women may use these seats. | adjective | health | B
protective | 保護的な | Wear protective gloves. | adjective | health | C
punctual | 時間を守る | He is always punctual for meetings. | adjective | business | C
random | 無作為の | We asked a random group of students. | adjective | education | B
realistic | 現実的な | Set a realistic goal. | adjective | general | B
relevant | 関連のある | Keep your answer relevant to the question. | adjective | education | B
ridiculous | ばかげた | That price is ridiculous. | adjective | business | B
ripe | 熟した | These peaches are not ripe yet. | adjective | daily | B
romantic | 恋愛の | They watched a romantic movie. | adjective | daily | B
rotten | 腐った | Throw away the rotten apples. | adjective | daily | B
royal | 王室の | The royal family visited the town. | adjective | society | B
rude | 無礼な | It is rude to interrupt. | adjective | general | A
salty | 塩辛い | This soup is a little salty. | adjective | daily | B
scared | おびえた | The child looked scared. | adjective | general | B
selfish | 利己的な | Do not be selfish with the toys. | adjective | general | B
shallow | 浅い | The river is shallow here. | adjective | environment | B
shiny | 光沢のある | She wore shiny black shoes. | adjective | daily | C
shy | 内気な | He is too shy to speak up. | adjective | general | A
silly | ばかげた | That was a silly mistake. | adjective | general | B
slim | ほっそりした | The phone is light and slim. | adjective | technology | B
sour | すっぱい | This lemon is very sour. | adjective | daily | B
spicy | 辛い | The curry was too spicy. | adjective | daily | B
splendid | すばらしい | We had a splendid view. | adjective | daily | C
steep | 険しい | The path became steep near the top. | adjective | environment | B
sticky | ねばねばした | My hands are sticky with honey. | adjective | daily | B
stiff | 硬い | My shoulders feel stiff. | adjective | health | B
surprising | 驚くべき | The result was surprising. | adjective | general | A
swift | 迅速な | They made a swift decision. | adjective | business | C
sympathetic | 同情的な | She gave me a sympathetic look. | adjective | general | C
technical | 技術的な | We had a technical problem. | adjective | technology | B
tender | 柔らかい | The meat was very tender. | adjective | daily | B
terrific | すばらしい | You did a terrific job. | adjective | general | B
thoughtful | 思いやりのある | That was a thoughtful gift. | adjective | general | B
tidy | 整った | Her desk is always tidy. | adjective | daily | B
traditional | 伝統的な | They wore traditional clothes. | adjective | society | A
tragic | 悲惨な | It was a tragic accident. | adjective | society | B
ugly | 醜い | The old building looks ugly. | adjective | general | B
unable | できない | I was unable to attend. | adjective | general | B
uncomfortable | 心地よくない | These shoes are uncomfortable. | adjective | daily | B
unfair | 不公平な | The rule seems unfair. | adjective | society | B
unhappy | 不幸な | She looked unhappy about the news. | adjective | general | B
unknown | 未知の | The cause is still unknown. | adjective | general | B
unlikely | ありそうにない | Rain is unlikely today. | adjective | environment | B
unnecessary | 不要な | Cut out unnecessary spending. | adjective | business | B
upper | 上の | Books are on the upper shelf. | adjective | daily | B
vacant | 空いている | The seat beside me is vacant. | adjective | daily | B
vague | あいまいな | His answer was vague. | adjective | general | B
vast | 広大な | A vast field spread before us. | adjective | environment | B
violent | 暴力的な | The film is too violent for children. | adjective | society | B
visible | 目に見える | The mountain is visible from here. | adjective | environment | B
vivid | 鮮やかな | The photo has vivid colors. | adjective | general | C
weak | 弱い | He felt weak after the fever. | adjective | health | A
weird | 奇妙な | I heard a weird noise. | adjective | general | B
wonderful | すばらしい | We had a wonderful time. | adjective | general | A
